id_invoice;cabang;kota;tipe_customer;jenis_kelamin;kategori_produk;harga_satuan;jumlah;pajak_5_persen;tanggal;waktu;metode_pembayaran;total_penjualan_sebelum_pajak;persentase_gross_margin;pendapatan_kotor;rating
750-67-8428;Banjarmasin;Banjarmasin;Member;Female;Skincare;74.69;7;261.415;01/05/2019;13:08:00;Ewallet;522.83;4.761.904.762;261.415;9.1
226-31-3081;Banjarbaru;Banjarbaru;Normal;Female;Make Up;15.28;5;3.82;03/08/2019;10:29:00;Cash;76.4;4.761.904.762;3.82;9.6
631-41-3108;Banjarmasin;Banjarmasin;Normal;Female;Body Care;46.33;7;162.155;03/03/2019;13:23:00;Credit card;324.31;4.761.904.762;162.155;7.4
123-19-1176;Banjarmasin;Banjarmasin;Member;Female;Skincare;58.22;8;23.288;1/27/2019;20:33:00;Ewallet;465.76;4.761.904.762;23.288;8.4
373-73-7910;Banjarmasin;Banjarmasin;Member;Female;Hair Care;86.31;7;302.085;02/08/2019;10:37:00;Ewallet;604.17;4.761.904.762;302.085;5.3
699-14-3026;Banjarbaru;Banjarbaru;Member;Female;Make Up;85.39;7;298.865;3/25/2019;18:30:00;Ewallet;597.73;4.761.904.762;298.865;4.1
355-53-5943;Banjarmasin;Banjarmasin;Member;Female;Make Up;68.84;6;20.652;2/25/2019;14:36:00;Ewallet;413.04;4.761.904.762;20.652;5.8
315-22-5665;Banjarbaru;Banjarbaru;Member;Female;Body Care;73.56;10;36.78;2/24/2019;11:38:00;Ewallet;735.6;4.761.904.762;36.78;8
665-32-9167;Banjarmasin;Banjarmasin;Member;Female;Skincare;36.26;2;3.626;01/10/2019;17:15:00;Credit card;72.52;4.761.904.762;3.626;7.2
692-92-5582;Martapura;Martapura;Member;Female;Fragrance / Parfum;54.84;3;8.226;2/20/2019;13:27:00;Credit card;164.52;4.761.904.762;8.226;5.9
351-62-0822;Martapura;Martapura;Member;Female;Beauty Tools;14.48;4;2.896;02/06/2019;18:07:00;Ewallet;57.92;4.761.904.762;2.896;4.5
529-56-3974;Martapura;Martapura;Member;Female;Make Up;25.51;4;5.102;03/09/2019;17:03:00;Cash;102.04;4.761.904.762;5.102;6.8
365-64-0515;Banjarmasin;Banjarmasin;Member;Female;Make Up;46.95;5;117.375;02/12/2019;10:25:00;Ewallet;234.75;4.761.904.762;117.375;7.1
252-56-2699;Banjarmasin;Banjarmasin;Member;Female;Fragrance / Parfum;43.19;10;21.595;02/07/2019;16:48:00;Ewallet;431.9;4.761.904.762;21.595;8.2
829-34-3910;Banjarmasin;Banjarmasin;Member;Female;Skincare;71.38;10;35.69;3/29/2019;19:21:00;Cash;713.8;4.761.904.762;35.69;5.7
299-46-1805;Martapura;Martapura;Member;Female;Hair Care;93.72;6;28.116;1/15/2019;16:19:00;Cash;562.32;4.761.904.762;28.116;4.5
656-95-9349;Banjarmasin;Banjarmasin;Member;Female;Skincare;68.93;7;241.255;03/11/2019;11:03:00;Credit card;482.51;4.761.904.762;241.255;4.6
765-26-6951;Banjarmasin;Banjarmasin;Member;Female;Hair Care;72.61;6;21.783;01/01/2019;10:39:00;Credit card;435.66;4.761.904.762;21.783;6.9
329-62-1586;Banjarmasin;Banjarmasin;Member;Female;Fragrance / Parfum;54.67;3;82.005;1/21/2019;18:00:00;Credit card;164.01;4.761.904.762;82.005;8.6
319-50-3348;Martapura;Martapura;Member;Female;Body Care;40.3;2;04.03;03/11/2019;15:30:00;Ewallet;80.6;4.761.904.762;04.03;4.4
300-71-4605;Banjarbaru;Banjarbaru;Member;Female;Make Up;86.04;5;21.51;2/25/2019;11:24:00;Ewallet;430.2;4.761.904.762;21.51;4.8
371-85-5789;Martapura;Martapura;Member;Female;Skincare;87.98;3;13.197;03/05/2019;10:40:00;Ewallet;263.94;4.761.904.762;13.197;5.1
273-16-6619;Martapura;Martapura;Member;Female;Body Care;33.2;2;3.32;3/15/2019;12:20:00;Credit card;66.4;4.761.904.762;3.32;4.4
636-48-8204;Banjarmasin;Banjarmasin;Member;Female;Make Up;34.56;5;8.64;2/17/2019;11:15:00;Ewallet;172.8;4.761.904.762;8.64;9.9
549-59-1358;Banjarmasin;Banjarmasin;Member;Female;Hair Care;88.63;3;132.945;03/02/2019;17:36:00;Ewallet;265.89;4.761.904.762;132.945;6
227-03-5010;Banjarmasin;Banjarmasin;Member;Female;Body Care;52.59;8;21.036;3/22/2019;19:20:00;Credit card;420.72;4.761.904.762;21.036;8.5
649-29-6775;Martapura;Martapura;Member;Female;Beauty Tools;33.52;1;1.676;02/08/2019;15:31:00;Cash;33.52;4.761.904.762;1.676;6.7
189-17-4241;Banjarmasin;Banjarmasin;Member;Female;Beauty Tools;87.67;2;8.767;03/10/2019;12:17:00;Credit card;175.34;4.761.904.762;8.767;7.7
145-94-9061;Martapura;Martapura;Member;Female;Fragrance / Parfum;88.36;5;22.09;1/25/2019;19:48:00;Cash;441.8;4.761.904.762;22.09;9.6
848-62-7243;Banjarmasin;Banjarmasin;Member;Female;Skincare;24.89;9;112.005;3/15/2019;15:36:00;Cash;224.01;4.761.904.762;112.005;7.4
871-79-8483;Martapura;Martapura;Member;Female;Beauty Tools;94.13;5;235.325;2/25/2019;19:39:00;Credit card;470.65;4.761.904.762;235.325;4.8
149-71-6266;Martapura;Martapura;Member;Female;Hair Care;78.07;9;351.315;1/28/2019;12:43:00;Cash;702.63;4.761.904.762;351.315;4.5
640-49-2076;Martapura;Martapura;Member;Female;Hair Care;83.78;8;33.512;01/10/2019;14:49:00;Cash;670.24;4.761.904.762;33.512;5.1
595-11-5460;Banjarmasin;Banjarmasin;Member;Female;Skincare;96.58;2;9.658;3/15/2019;10:12:00;Credit card;193.16;4.761.904.762;9.658;5.1
183-56-6882;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;99.42;4;19.884;02/06/2019;10:42:00;Ewallet;397.68;4.761.904.762;19.884;7.5
232-16-2483;Banjarbaru;Banjarbaru;Member;Female;Hair Care;68.12;1;3.406;01/07/2019;12:28:00;Ewallet;68.12;4.761.904.762;3.406;6.8
129-29-8530;Banjarmasin;Banjarmasin;Member;Female;Hair Care;62.62;5;15.655;03/10/2019;19:15:00;Ewallet;313.1;4.761.904.762;15.655;7
272-65-1806;Banjarmasin;Banjarmasin;Member;Female;Make Up;60.88;9;27.396;1/15/2019;17:17:00;Ewallet;547.92;4.761.904.762;27.396;4.7
333-73-7901;Banjarbaru;Banjarbaru;Member;Female;Skincare;54.92;8;21.968;3/23/2019;13:24:00;Ewallet;439.36;4.761.904.762;21.968;7.6
777-82-7220;Martapura;Martapura;Member;Female;Body Care;30.12;8;12.048;03/03/2019;13:01:00;Cash;240.96;4.761.904.762;12.048;7.7
280-35-5823;Martapura;Martapura;Member;Female;Body Care;86.72;1;4.336;1/17/2019;18:45:00;Ewallet;86.72;4.761.904.762;4.336;7.9
554-53-8700;Banjarbaru;Banjarbaru;Member;Female;Body Care;56.11;2;5.611;02/02/2019;10:11:00;Cash;112.22;4.761.904.762;5.611;6.3
354-25-5821;Martapura;Martapura;Member;Female;Hair Care;69.12;6;20.736;02/08/2019;13:03:00;Cash;414.72;4.761.904.762;20.736;5.6
228-96-1411;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;98.7;8;39.48;03/04/2019;20:39:00;Cash;789.6;4.761.904.762;39.48;7.6
617-15-4209;Banjarbaru;Banjarbaru;Member;Female;Skincare;15.37;2;1.537;3/16/2019;19:47:00;Cash;30.74;4.761.904.762;1.537;7.2
132-32-9879;Martapura;Martapura;Member;Female;Make Up;93.96;4;18.792;03/09/2019;18:00:00;Cash;375.84;4.761.904.762;18.792;9.5
370-41-7321;Martapura;Martapura;Member;Female;Skincare;56.69;9;255.105;2/27/2019;17:24:00;Credit card;510.21;4.761.904.762;255.105;8.4
727-46-3608;Martapura;Martapura;Member;Female;Fragrance / Parfum;20.01;9;91.945;02/06/2019;15:47:00;Ewallet;180.09;4.761.904.762;91.945;4.1
669-54-1719;Martapura;Martapura;Member;Female;Make Up;18.93;6;5.679;02/10/2019;12:45:00;Credit card;113.58;4.761.904.762;5.679;8.1
574-22-5561;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;82.63;10;41.315;3/19/2019;17:08:00;Ewallet;826.3;4.761.904.762;41.315;7.9
326-78-5178;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;91.4;7;31.99;02/03/2019;10:19:00;Cash;639.8;4.761.904.762;31.99;9.5
162-48-8011;Banjarmasin;Banjarmasin;Member;Female;Fragrance / Parfum;44.59;5;111.475;02/10/2019;15:10:00;Cash;222.95;4.761.904.762;111.475;8.5
616-24-2851;Martapura;Martapura;Member;Female;Beauty Tools;17.87;4;3.574;3/22/2019;14:42:00;Ewallet;71.48;4.761.904.762;3.574;6.5
778-71-5554;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;15.43;1;7.715;1/25/2019;15:46:00;Credit card;15.43;4.761.904.762;7.715;6.1
242-55-6721;Martapura;Martapura;Member;Female;Body Care;16.16;2;1.616;03/07/2019;11:49:00;Ewallet;32.32;4.761.904.762;1.616;6.5
399-46-5918;Banjarbaru;Banjarbaru;Member;Female;Make Up;85.98;8;34.392;2/28/2019;19:01:00;Cash;687.84;4.761.904.762;34.392;8.2
106-35-6779;Banjarmasin;Banjarmasin;Member;Female;Body Care;44.34;2;4.434;3/27/2019;11:26:00;Cash;88.68;4.761.904.762;4.434;5.8
635-40-6220;Banjarmasin;Banjarmasin;Member;Female;Skincare;89.6;8;35.84;02/07/2019;11:28:00;Ewallet;716.8;4.761.904.762;35.84;6.6
817-48-8732;Banjarmasin;Banjarmasin;Member;Female;Body Care;72.35;10;36.175;1/20/2019;15:55:00;Cash;723.5;4.761.904.762;36.175;5.4
120-06-4233;Banjarbaru;Banjarbaru;Member;Female;Make Up;30.61;6;9.183;03/12/2019;20:36:00;Cash;183.66;4.761.904.762;9.183;9.3
285-68-5083;Banjarbaru;Banjarbaru;Member;Female;Hair Care;24.74;3;3.711;2/15/2019;17:47:00;Credit card;74.22;4.761.904.762;3.711;10
